text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @plant_ecology: Conservation in the face of climate change. We have to consider all options. David Ackerly #AEETMED https://t.co/5tHlDqA…,FALSE,0.0,NA,2017-02-04T23:33:24Z,FALSE,NA,828023683780313089,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",phenogirl,8.0,TRUE,FALSE,NA,NA
RT @pedro_jordano: Closing #AEETMED with a great flamenco guitar performance by Berraquero and Miranda. Flamenco is an art; science is an a…,FALSE,0.0,NA,2017-02-04T23:33:10Z,FALSE,NA,828023625424973825,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tpoi,4.0,TRUE,FALSE,NA,NA
RT @pedro_jordano: Closing #AEETMED with a great flamenco guitar performance by Berraquero and Miranda. Flamenco is an art; science is an a…,FALSE,0.0,NA,2017-02-04T23:32:44Z,FALSE,NA,828023514246557696,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",phenogirl,4.0,TRUE,FALSE,NA,NA
"RT @EduVicen_T: Dunes and marshlands, Doñana #AEETMED https://t.co/9w8JjZzJ2a",FALSE,0.0,NA,2017-02-04T21:59:07Z,FALSE,NA,827999955231055875,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",_AEET_,3.0,TRUE,FALSE,NA,NA
RT @caritademona: Amazing field trip in Los Alcornocales Natural Park #AEETMED #AEET @_AEET_ #Alcornocales #MEDECOS https://t.co/TW0tMOn6Ay,FALSE,0.0,NA,2017-02-04T21:56:34Z,FALSE,NA,827999312718266368,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",_AEET_,2.0,TRUE,FALSE,NA,NA
RT @caritademona: My poster for #AEETMED Medecos &amp; AEET meeting in #Sevilla @_AEET_ Amazing conference! Looking forward to next one in 2019…,FALSE,0.0,NA,2017-02-04T21:14:11Z,FALSE,NA,827988648452882432,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AgusBC3,4.0,TRUE,FALSE,NA,NA
#AEETMED https://t.co/3HkGENjrUC,FALSE,0.0,NA,2017-02-04T21:12:33Z,FALSE,NA,827988237360709632,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",phenogirl,0.0,FALSE,FALSE,NA,NA
RT @plant_ecology: The cascading effects of the #anthropocene @pedro_jordano #AEETMED https://t.co/qXcaF4J6jY,FALSE,0.0,NA,2017-02-04T21:11:46Z,FALSE,NA,827988040387796992,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",phenogirl,2.0,TRUE,FALSE,NA,NA
"#AEETMED was not only good for future projects, also for remembering old good times of PhD! ;-) https://t.co/LgMOt2fONg",FALSE,1.0,NA,2017-02-04T21:09:48Z,FALSE,NA,827987544080052225,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",phenogirl,0.0,FALSE,FALSE,NA,NA
RT @caritademona: My poster for #AEETMED Medecos &amp; AEET meeting in #Sevilla @_AEET_ Amazing conference! Looking forward to next one in 2019…,FALSE,0.0,NA,2017-02-04T21:09:34Z,FALSE,NA,827987486936879108,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",rochoahueso,4.0,TRUE,FALSE,NA,NA
"RT @EduVicen_T: Dunes and marshlands, Doñana #AEETMED https://t.co/9w8JjZzJ2a",FALSE,0.0,NA,2017-02-04T21:06:21Z,FALSE,NA,827986677444571136,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",rochoahueso,3.0,TRUE,FALSE,NA,NA
"RT @EduVicen_T: Dunes and marshlands, Doñana #AEETMED https://t.co/9w8JjZzJ2a",FALSE,0.0,NA,2017-02-04T20:44:34Z,FALSE,NA,827981193916317697,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",pedro_jordano,3.0,TRUE,FALSE,NA,NA
RT @rochoahueso: Very interesting concept: The benefit of #disruption by @jgpausas talking about #fire at #AEETMED #MEDECOS https://t.co/qR…,FALSE,0.0,NA,2017-02-04T20:38:31Z,FALSE,NA,827979671933435905,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",VirginiaCarrace,5.0,TRUE,FALSE,NA,NA
RT @pistilata: Flamenco guitar concert at closing ceremony #AEETMED @_AEET_ @unisevilla Soleá https://t.co/300Ek7VImr,FALSE,0.0,NA,2017-02-04T19:43:45Z,FALSE,NA,827965888552906754,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jmbapi,5.0,TRUE,FALSE,NA,NA
RT @josemreybenayas: Volviendo del congreso #AEETMED. Enhorabuena a la @_AEET_ por la organización. Impulso profesional para muchos,FALSE,0.0,NA,2017-02-04T19:43:22Z,FALSE,NA,827965790716559361,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jmbapi,4.0,TRUE,FALSE,NA,NA
RT @AleMoranOrdonez: Going home after 4 intensive days of great talks &amp; meetings with colleagues at the #AEETMED. Great success of our @ESP…,FALSE,0.0,NA,2017-02-04T19:08:22Z,FALSE,NA,827956982959136769,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ecolandlab,2.0,TRUE,FALSE,NA,NA
Amazing field trip in Los Alcornocales Natural Park #AEETMED #AEET @_AEET_ #Alcornocales #MEDECOS https://t.co/TW0tMOn6Ay,FALSE,1.0,NA,2017-02-04T18:43:16Z,FALSE,NA,827950668346437632,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",caritademona,2.0,FALSE,FALSE,NA,NA
RT @FernandoBlancoS: Finishing with workshop about sharing science to a non-scientific public #AEETMED @_pmmv_ https://t.co/TxCtBSUJ5l,FALSE,0.0,NA,2017-02-04T17:33:22Z,FALSE,NA,827933078261792769,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ateray,4.0,TRUE,FALSE,NA,NA
RT @argcPALEO: Learning on #scientific #communication with @MetaComunicaes people at the #AEETMED #Outreach https://t.co/V7sugdr3lV,FALSE,0.0,NA,2017-02-04T17:33:07Z,FALSE,NA,827933014676144128,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ateray,3.0,TRUE,FALSE,NA,NA
RT @argcPALEO: #Biodiversity is not just #species by Brent D. Mishler at the #AEETMED https://t.co/jeMe2P4WWn,FALSE,0.0,NA,2017-02-04T17:31:27Z,FALSE,NA,827932594117472256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ateray,2.0,TRUE,FALSE,NA,NA
RT @FernandoBlancoS: Last day at #AEETMED ������ Evolutionary and ecological mechanism symposia just started @_AEET_ @_pmmv_ @argcPALEO https://…,FALSE,0.0,NA,2017-02-04T17:28:55Z,FALSE,NA,827931957430476801,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ateray,4.0,TRUE,FALSE,NA,NA
RT @ajpelu: .@mrueda_eco clustering and affinity propagation algorithms applied to biogeographical studies #AEETMED @ecoinf_aeet https://t.…,FALSE,0.0,NA,2017-02-04T16:25:13Z,FALSE,NA,827915927949807617,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Eco_Godoy,1.0,TRUE,FALSE,NA,NA
having fun with @AdApta_Lab great guys!! #AEETMED https://t.co/huXFGp7v6W,FALSE,2.0,NA,2017-02-04T16:22:31Z,FALSE,NA,827915246765539329,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaconLabella,0.0,FALSE,FALSE,NA,NA
"RT @ibartomeus: .@mrueda_eco admits she is an ecoinformatician. ""Clustering algorithms are great. Use them."" #AEETMED https://t.co/F6xxY72V…",FALSE,0.0,NA,2017-02-04T16:01:48Z,FALSE,NA,827910034139017218,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Eco_Godoy,4.0,TRUE,FALSE,NA,NA
RT @plant_ecology: Alcornocales #AEETMED excursion https://t.co/xHoxAW2DBC,FALSE,0.0,NA,2017-02-04T15:58:07Z,FALSE,NA,827909106929381376,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Eco_Godoy,2.0,TRUE,FALSE,NA,NA
Silvia Matesanz inspiring us! fantastic talk #AEETMED https://t.co/AgKaavoZuO,FALSE,2.0,NA,2017-02-04T15:36:36Z,FALSE,NA,827903691042725894,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaconLabella,0.0,FALSE,FALSE,NA,NA
This one was a really good talk  #AEETMED https://t.co/udBb2iorWO,FALSE,0.0,NA,2017-02-04T15:34:40Z,FALSE,NA,827903206227337216,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaconLabella,0.0,FALSE,FALSE,NA,NA
RT @pedro_jordano: Reflexiones de Fco Lloret Montse Vilá y Adrián Escudero sobre la ecología en España #AEETMED: fuga de talento y carencia…,FALSE,0.0,NA,2017-02-04T15:31:01Z,FALSE,NA,827902286827503616,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaconLabella,11.0,TRUE,FALSE,NA,NA
"Dunes and marshlands, Doñana #AEETMED https://t.co/9w8JjZzJ2a",FALSE,4.0,NA,2017-02-04T14:11:07Z,FALSE,NA,827882179317420033,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EduVicen_T,3.0,FALSE,FALSE,NA,NA
RT @FernandoBlancoS: Finishing with workshop about sharing science to a non-scientific public #AEETMED @_pmmv_ https://t.co/TxCtBSUJ5l,FALSE,0.0,NA,2017-02-04T13:55:06Z,FALSE,NA,827878150168272896,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hdezfdez,4.0,TRUE,FALSE,NA,NA
RT @argcPALEO: Learning on #scientific #communication with @MetaComunicaes people at the #AEETMED #Outreach https://t.co/V7sugdr3lV,FALSE,0.0,NA,2017-02-04T13:54:58Z,FALSE,NA,827878116567683072,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hdezfdez,3.0,TRUE,FALSE,NA,NA
"RT @FernandoBlancoS: This is it! Congrats #AEETMED org. for this amazing meeting, and thank you Sevilla, I'll come back for sure. @_AEET_ @…",FALSE,0.0,NA,2017-02-04T13:54:49Z,FALSE,NA,827878076021370880,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hdezfdez,4.0,TRUE,FALSE,NA,NA
RT @gilromera: Leaving #AEETMED conference; congrats local organising committee &amp; @_AEET_ for such an awesome meeting! Great synergy with m…,FALSE,0.0,NA,2017-02-04T13:54:41Z,FALSE,NA,827878043326803969,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hdezfdez,3.0,TRUE,FALSE,NA,NA
"Lab on stage #AEETMED: @frod_san, JuanP Gzlez-Varo,  @Nestor_Perez__  Geno Schupp, and Pedro
Thanks all for great d… https://t.co/jgd6aYIEDz",FALSE,10.0,NA,2017-02-04T13:33:47Z,TRUE,NA,827872782436487169,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",pedro_jordano,0.0,FALSE,FALSE,NA,NA
RT @Eco_Godoy: We move in our session to frugivores interactions and their implications for seed dispersal #AEETMED Great talk by JuanP Gon…,FALSE,0.0,NA,2017-02-04T13:28:49Z,FALSE,NA,827871532626100224,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CoDisperse,3.0,TRUE,FALSE,NA,NA
"RT @pedro_jordano: Geno Schupp on climate change effects on animal-mediated seed #dispersal, and its potential complexities
#AEETMED #MEDEC…",FALSE,0.0,NA,2017-02-04T13:27:35Z,FALSE,NA,827871223447224320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CoDisperse,2.0,TRUE,FALSE,NA,NA
RT @OmarFWolf: Nice trip to Doñana this morning. A good end for #AEETMED,FALSE,0.0,NA,2017-02-04T13:03:18Z,FALSE,NA,827865112790855680,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",_AEET_,1.0,TRUE,FALSE,NA,NA
Nice trip to Doñana this morning. A good end for #AEETMED,FALSE,2.0,NA,2017-02-04T12:36:17Z,FALSE,NA,827858313375313920,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OmarFWolf,1.0,FALSE,FALSE,NA,NA
RT @josemreybenayas: Volviendo del congreso #AEETMED. Enhorabuena a la @_AEET_ por la organización. Impulso profesional para muchos,FALSE,0.0,NA,2017-02-04T12:30:47Z,FALSE,NA,827856931507290115,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_AEET_,4.0,TRUE,FALSE,NA,NA
RT @caritademona: My poster for #AEETMED Medecos &amp; AEET meeting in #Sevilla @_AEET_ Amazing conference! Looking forward to next one in 2019…,FALSE,0.0,NA,2017-02-04T12:30:06Z,FALSE,NA,827856758689427460,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_AEET_,4.0,TRUE,FALSE,NA,NA
RT @AdrianRegosSanz: Take a look to my poster about the effecfs of fire-vegetation dynamics on #climatechange Indicators for #AEETMED CITIU…,FALSE,0.0,NA,2017-02-04T12:06:24Z,FALSE,NA,827850793302765569,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",RogerPuigGirons,6.0,TRUE,FALSE,NA,NA
RT @ajpelu: Today we enjoyed a great symposium with a lot of interesting #ecoinformatics talks. Thanks to the speakers #AEETMED https://t.c…,FALSE,0.0,NA,2017-02-04T11:19:46Z,FALSE,NA,827839057904410625,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,9.0,TRUE,FALSE,NA,NA
"Lesser kestrels, a great end of a highly interesting #aeetmed meeting. Thanks for the invitation! https://t.co/xCcHPKpECa",FALSE,5.0,NA,2017-02-04T10:55:43Z,FALSE,NA,827833005934858240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BonteDries,0.0,FALSE,FALSE,NA,NA
"RT @pmolinam: Hoy hable sobre #git para ecólogos en la Univ. de Sevilla #AEETMED Espero no haber sido muy ""técnico"" esta vez y que se haya…",FALSE,0.0,NA,2017-02-04T10:24:38Z,FALSE,NA,827825184514174976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,3.0,TRUE,FALSE,NA,NA
"RT @FernandoBlancoS: This is it! Congrats #AEETMED org. for this amazing meeting, and thank you Sevilla, I'll come back for sure. @_AEET_ @…",FALSE,0.0,NA,2017-02-04T10:21:45Z,FALSE,NA,827824458555650048,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,4.0,TRUE,FALSE,NA,NA
RT @ajpelu: .@MalditoBarbudo talking about .@sapfluxnet. A truly #reproducibleScience example #AEETMED .@ecoinf_aeet https://t.co/8tzHfZ3IH5,FALSE,0.0,NA,2017-02-04T10:20:37Z,FALSE,NA,827824173753974785,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,1.0,TRUE,FALSE,NA,NA
RT @FernandoBlancoS: Looking forward to Ecoinformatic symposia at #AEETMED @_pmmv_ @argcPALEO @_AEET_ https://t.co/G42d19EWHn,FALSE,0.0,NA,2017-02-04T10:17:05Z,FALSE,NA,827823284574179328,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,3.0,TRUE,FALSE,NA,NA
Alcornocales #AEETMED excursion https://t.co/xHoxAW2DBC,FALSE,7.0,NA,2017-02-04T10:16:17Z,FALSE,NA,827823079686549504,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",plant_ecology,2.0,FALSE,FALSE,NA,NA
International Mediterranean-type ecosystems #MEDECOS #AEETMED closing today in @unisevilla with field trips… https://t.co/5NKpKoUTNM,FALSE,0.0,NA,2017-02-04T10:15:27Z,TRUE,NA,827822872303382528,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",unisevilla,0.0,FALSE,FALSE,NA,NA
RT @DRobcito: .@SalGoTeam leader @DRobcito about to discuss #ecoinformatics and #demography #AEETMED @compadreDB @comadreDB @MPIDRnews @Dem…,FALSE,0.0,NA,2017-02-04T10:14:42Z,FALSE,NA,827822684977393664,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dnietolugilde,7.0,TRUE,FALSE,NA,NA
"RT @Veruitter: ""Let's catch biodiversity"" instead of Pokemon by @DRobcito  @ecoinf_aeet  #AEETMED https://t.co/JiUaDmrNy9",FALSE,0.0,NA,2017-02-04T09:59:41Z,FALSE,NA,827818902319153152,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RorroDew,4.0,TRUE,FALSE,NA,NA
"RT @plant_ecology: If your R-square is very low, it's not the end of the world :)  @Maestrelab @ftmaestre #AEETMED https://t.co/MgSdtL5aME",FALSE,0.0,NA,2017-02-04T09:40:10Z,FALSE,NA,827813993075064832,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",argcPALEO,5.0,TRUE,FALSE,NA,NA
RT @Eco_Godoy: The symposium of species interactions and ecosystem functioning keeps going with @ManuDelBaq #AEETMED microbial diversity &amp;…,FALSE,0.0,NA,2017-02-04T09:37:08Z,FALSE,NA,827813230990991361,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HakimAbdi,4.0,TRUE,FALSE,NA,NA
RT @ftmaestre: What a great #AEETMED A pleasure presenting our work funded by @ERC_Research &amp; pleased to see so much interest on #drylands…,FALSE,0.0,NA,2017-02-04T09:32:03Z,FALSE,NA,827811951447248896,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",josemreybenayas,6.0,TRUE,FALSE,NA,NA
RT @Web_Ecology: It's been great to be at #AEETMED. Stay tuned for our upcoming special issue. Thanks @_AEET_!  https://t.co/vGNnyWB8tm,FALSE,0.0,NA,2017-02-04T09:29:53Z,FALSE,NA,827811406087127040,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",josemreybenayas,3.0,TRUE,FALSE,NA,NA
My poster for #AEETMED Medecos &amp; AEET meeting in #Sevilla @_AEET_ Amazing conference! Looking forward to next one i… https://t.co/qO4dFRowM2,FALSE,10.0,NA,2017-02-04T09:25:36Z,TRUE,NA,827810328415199233,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",caritademona,4.0,FALSE,FALSE,NA,NA
RT @ftmaestre: What a great #AEETMED A pleasure presenting our work funded by @ERC_Research &amp; pleased to see so much interest on #drylands…,FALSE,0.0,NA,2017-02-04T09:19:58Z,FALSE,NA,827808910774038529,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CrisScience,6.0,TRUE,FALSE,NA,NA
RT @josemreybenayas: Volviendo del congreso #AEETMED. Enhorabuena a la @_AEET_ por la organización. Impulso profesional para muchos,FALSE,0.0,NA,2017-02-04T09:19:52Z,FALSE,NA,827808883209039872,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",rochoahueso,4.0,TRUE,FALSE,NA,NA
Volviendo del congreso #AEETMED. Enhorabuena a la @_AEET_ por la organización. Impulso profesional para muchos,FALSE,9.0,NA,2017-02-04T09:19:21Z,FALSE,NA,827808755127635968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",josemreybenayas,4.0,FALSE,FALSE,NA,NA
