"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Nikofire: Programa @rtve #CRincendios muy recomendable sobre incendios forestales sus orígenes mitos, presente pasado y futuro
https://…",FALSE,0,NA,2016-11-29 23:52:22,FALSE,NA,"803748469353496576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lloro_R",3,TRUE,FALSE,NA,NA
"2","RT @extremadurafire: #CRincendios el fuego técnico es el mejor aliado contra los incendios forestales, es nuestra vacuna. @BrigForestCat",FALSE,0,NA,2016-11-29 23:24:21,FALSE,NA,"803741419223547904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losemilietes",5,TRUE,FALSE,NA,NA
"3","RT @PASBF: ""La paradoja de la extinción"" cuantos más conatos apagamos, más escenarios de un posible #GIF #CRincendios @PauCostaF",FALSE,0,NA,2016-11-29 23:16:00,FALSE,NA,"803739314744074240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losemilietes",20,TRUE,FALSE,NA,NA
"4","RT @BRIFpradotwit: #CRincendios el uso del fuego como herramienta tanto en prevención como en extinción de #IIFF Deben realizarlo profesion…",FALSE,0,NA,2016-11-29 23:15:32,FALSE,NA,"803739201208389632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losemilietes",8,TRUE,FALSE,NA,NA
"5","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-29 23:10:35,FALSE,NA,"803737953080111104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vitines14",63,TRUE,FALSE,NA,NA
"6","RT @eforestal: Muy bueno el programa #CRincendios. La gestión forestal aprovechando, clave para conservar nuestros montes. https://t.co/7CB…",FALSE,0,NA,2016-11-29 23:07:13,FALSE,NA,"803737108095574016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BRIFpradotwit",11,TRUE,FALSE,NA,NA
"7","#CRincendios junto con @Enllamas_doc, de lo mejor emitido estos últimos años. Impagable trabajo!",FALSE,0,NA,2016-11-29 22:52:33,FALSE,NA,"803733416671899648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JManuelTudela",0,FALSE,FALSE,NA,NA
"8","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 22:45:45,FALSE,NA,"803731705773309952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","briflubia",23,TRUE,FALSE,NA,NA
"9","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 22:13:01,FALSE,NA,"803723465794711552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AT_Brif",23,TRUE,FALSE,NA,NA
"10","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 21:51:46,FALSE,NA,"803718118346543104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asfova",23,TRUE,FALSE,NA,NA
"11","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 21:45:29,FALSE,NA,"803716536292687872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jocoba87",23,TRUE,FALSE,NA,NA
"12","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 21:41:45,FALSE,NA,"803715598647595009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mario_72",23,TRUE,FALSE,NA,NA
"13","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 21:20:22,FALSE,NA,"803710214839091201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BiBierzo",23,TRUE,FALSE,NA,NA
"14","RT @tve_tve: O nos tomamos en serio la gestión forestal, o el fuego lo hará por nosotros. 'La huella del fuego' #CRincendios https://t.co/u…",FALSE,0,NA,2016-11-29 21:04:46,FALSE,NA,"803706291650723841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yowsa777",26,TRUE,FALSE,NA,NA
"15","RT @Inforadioinfo: Crónica 24 horas https://t.co/OR5fymIsAt #crincendios",FALSE,0,NA,2016-11-29 20:53:44,FALSE,NA,"803703512731385861",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","InforadioConsu",1,TRUE,FALSE,NA,NA
"16","RT @VirginiaCarrace: #CRincendios CañadasdeAbajo10 vecinos ya no se puede entrar, antes se vendía pino, resina, los rastrojos para cocinar,…",FALSE,0,NA,2016-11-29 20:46:56,FALSE,NA,"803701804835999744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alfonsomarquezf",4,TRUE,FALSE,NA,NA
"17","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 20:44:36,FALSE,NA,"803701214487531520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BRIFpradotwit",23,TRUE,FALSE,NA,NA
"18","RT @VirginiaCarrace: #CRincendios #JuliPausas No es el fuego el que es malo, es la frecuencia de incendios",FALSE,0,NA,2016-11-29 20:21:57,FALSE,NA,"803695515170930688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PacoSaez89",12,TRUE,FALSE,NA,NA
"19","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 20:21:07,FALSE,NA,"803695304209940481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","briftabuyo",23,TRUE,FALSE,NA,NA
"20","RT @AT_Brif: Si te perdiste ayer Crónicas - La huella del fuego, Crónicas - RTVE.es A la Carta #CRIncendios #IIFF <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+009C>  https://t.co/nwfJPQq…",FALSE,0,NA,2016-11-29 20:10:39,FALSE,NA,"803692671474733056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zorromicali",34,TRUE,FALSE,NA,NA
"21","RT @tve_tve: O nos tomamos en serio la gestión forestal, o el fuego lo hará por nosotros. 'La huella del fuego' #CRincendios https://t.co/u…",FALSE,0,NA,2016-11-29 19:40:23,FALSE,NA,"803685056225087488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabrihelena",26,TRUE,FALSE,NA,NA
"22","Muy buen reportaje! Acercar los incendios a la población ayuda a la resiliencia y a ver la importancia de la gestió… https://t.co/8rTquZJly9",FALSE,0,NA,2016-11-29 19:28:34,TRUE,NA,"803682079473016833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexNavLi",0,FALSE,FALSE,NA,NA
"23","RT @eforestal: Viendo ahora el gran programa #CRincendios.
En vez de echar este tipo de programas a estas horas debería ser en 'prime time'…",FALSE,0,NA,2016-11-29 19:13:53,FALSE,NA,"803678386002526208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juanjik0",29,TRUE,FALSE,NA,NA
"24","RT @RamonLuque1: EXtraordinario Programa en la @la2_tve . Bosque,gestión y fuego #CRincendios @AgentsRuralsCCO @incendi @Forestales_CCOO @m…",FALSE,0,NA,2016-11-29 19:09:33,FALSE,NA,"803677294808088576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JORGELAMRET",8,TRUE,FALSE,NA,NA
"25","RT @Nikofire: Programa @rtve #CRincendios muy recomendable sobre incendios forestales sus orígenes mitos, presente pasado y futuro
https://…",FALSE,0,NA,2016-11-29 19:09:24,FALSE,NA,"803677256115748866",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","jordimongecomas",3,TRUE,FALSE,NA,NA
"26","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 19:04:12,FALSE,NA,"803675949455831040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StarFireBCN",23,TRUE,FALSE,NA,NA
"27","RT @tve_tve: O nos tomamos en serio la gestión forestal, o el fuego lo hará por nosotros. 'La huella del fuego' #CRincendios https://t.co/u…",FALSE,0,NA,2016-11-29 18:42:32,FALSE,NA,"803670495006720000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alexandrodelmas",26,TRUE,FALSE,NA,NA
"28","RT @VirginiaCarrace: #CRincendios #JuliPausas No es el fuego el que es malo, es la frecuencia de incendios",FALSE,0,NA,2016-11-29 18:39:06,FALSE,NA,"803669634155155456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BOUSES12",12,TRUE,FALSE,NA,NA
"29","RT @tve_tve: O nos tomamos en serio la gestión forestal, o el fuego lo hará por nosotros. 'La huella del fuego' #CRincendios https://t.co/u…",FALSE,0,NA,2016-11-29 18:33:55,FALSE,NA,"803668327231029248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ma_montse",26,TRUE,FALSE,NA,NA
"30","RT @anabelenroy_tve: Mañana en @la2_tve ""La huella del fuego"" #Crónicas 
https://t.co/GxWHEmalOp #CRincendios",FALSE,0,NA,2016-11-29 18:26:31,FALSE,NA,"803666467166134272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natgm78",7,TRUE,FALSE,NA,NA
"31","RT @laura_dmv: #CRincendios Gestión forestal+desarrollo rural sostenibles las mejores herramientas contra los grandes incendios forestales…",FALSE,0,NA,2016-11-29 18:24:25,FALSE,NA,"803665937874481152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PelobateJimenez",16,TRUE,FALSE,NA,NA
"32","RT @Guas0406: Impresionante el programa y las explicaciones de la evolución de la lucha contra los incendios en España. Bravo! #CRincendios…",FALSE,0,NA,2016-11-29 18:23:47,FALSE,NA,"803665778016919552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADF175Esparregu",10,TRUE,FALSE,NA,NA
"33","RT @AT_Brif: #CRincendios La clave es gestionar el monte y q no lo haga el fuego.Esta es la labor q realizamos #BLP+#EPRIF en #PrevenciónII…",FALSE,0,NA,2016-11-29 18:15:08,FALSE,NA,"803663602490241024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernandoRainr",23,TRUE,FALSE,NA,NA
"34","RT @AT_Brif: Si te perdiste ayer Crónicas - La huella del fuego, Crónicas - RTVE.es A la Carta #CRIncendios #IIFF <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+009C>  https://t.co/nwfJPQq…",FALSE,0,NA,2016-11-29 18:05:29,FALSE,NA,"803661173409415168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","CTTMadrid",34,TRUE,FALSE,NA,NA
"35","RT @MartaSantio: #CRincendios Si nosotros no gestionamos el monte, lo hará el fuego. 'La huella del fuego' https://t.co/NABRH7ETLf https://…",FALSE,0,NA,2016-11-29 18:02:40,FALSE,NA,"803660462839779328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","federacioADF_PG",11,TRUE,FALSE,NA,NA
"36","RT @xarxaforestal: Gran trabajo comunicación pública del comprometido equipo de profesionales de #Cronica #CRincendios en @la2_tve 
https:/…",FALSE,0,NA,2016-11-29 18:02:13,FALSE,NA,"803660351191609346",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PPartaicolonia",4,TRUE,FALSE,NA,NA
"37","RT @GranjadeBitxos: ¿Puede el fuego ser nuestro aliado ayudándonos a prevenir grandes incendios? #CRincendios muy recomendable.",FALSE,0,NA,2016-11-29 17:56:42,FALSE,NA,"803658960188428292",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dareios_Manar",3,TRUE,FALSE,NA,NA
